"locus"	"product"	"p_id"	"AP"	"GP"
Bd0140	putative purine nucleoside phosphorylase	NP_967157.1	1.481244904	69.47567955
Bd0141	penicillin-binding protein	NP_967158.1	0.724637795	69.19006525
Bd0142	dihydroflavonol-4-reductase	NP_967159.1	2.738736801	43.8383442
Bd0143	phosphatase	NP_967160.1	1.557597734	88.71195018
Bd0144	chemotaxis motA protein	NP_967161.1	3.829834732	35.92658714
Bd0145	chemotaxis motB protein	NP_967162.1	2.014493069	9.448692419
Bd0146	hypothetical protein	NP_967163.1	26.33501721	10.91493156
Bd0147	hypothetical protein	NP_967164.1	10.33073369	20.55004075
Bd0148	hypothetical protein	NP_967165.1	216.6941193	86.18739707
Bd0149	hypothetical protein	NP_967166.1	5749.371492	51.27627156
Bd0150	hypothetical protein	NP_967167.1	664.1251631	11.01479616
Bd0152	hypothetical protein	NP_967168.1	24.04231678	45.7851212
Bd0153	mannose-1-phosphate guanyltransferase	NP_967169.1	2.136583558	35.79050159
Bd0154	hypothetical protein	NP_967170.1	2.031909436	59.32176179
Bd0155	hypothetical protein	NP_967171.1	13.89305565	4.654528285
Bd0156	nitrogen fixation specific regulatory protein	NP_967172.1	671.0592117	96.32528919
Bd0157	putative mechano-sensitive ion channel	NP_967173.1	2.029715938	71.40069838
Bd0158	ABC transporter| nucleotide binding/ATPase	NP_967174.1	3.860526787	85.83306951
Bd0159	excinuclease ABC subunit A	NP_967175.1	3.073997562	145.8979174
Bd0160	penicillin-binding protein 1A	NP_967176.1	52.54712176	88.96154868
Bd0161	hypothetical protein	NP_967177.1	355.852325	9.720876974
Bd0162	large-conductance mechanosensitive channel	NP_967178.1	2.77861113	518.9799038
Bd0163	hypothetical protein	NP_967179.1	3.792978582	556.3037677
Bd0164	hypothetical protein	NP_967180.1	3.473263912	1450.661316
Bd0165	cell-division ATP-binding protein	NP_967181.1	2.734605976	322.1839206
Bd0166	hypothetical protein	NP_967182.1	0.80258688	32.26645106
Bd0168	M24/M37 family peptidase	NP_967183.1	2.707651974	18.14265057
Bd0169	carboxyl-terminal protease	NP_967184.1	6.583310683	86.75270039
Bd0170	hypothetical protein	NP_967185.1	2.693172552	1043.037475
Bd0172	hypothetical protein	NP_967186.1	52.94501015	209.1056778
Bd0173	hypothetical protein	NP_967187.1	1.201704108	7.320028214
Bd0175	thioredoxin	NP_967188.1	0	49.03167617
Bd0176	hypothetical protein	NP_967189.1	0	112.4844336
Bd0177	peptidyl-prolyl cis-trans isomerase	NP_967190.1	2.375581449	6351.125801
Bd0178	glutamate-ammonia-ligase adenylyltransferase	NP_967191.1	0.787937315	47.51624051
Bd0179	adventurous gliding motility protein W	NP_967192.1	1.308112382	76.69393197
Bd0180	TonB-like protein	NP_967193.1	1.754784903	163.4355707
Bd0181	adventurous gliding motility protein V	NP_967194.1	4.347826767	699.1838172
Bd0182	adventurous gliding motility protein X	NP_967195.1	1.228349432	524.012849
Bd0183	hypothetical protein	NP_967196.1	0	195.6085234
Bd0184	hypothetical protein	NP_967197.1	79.51946325	195.3677004
Bd0186	cysteine desulfurase activator complex subunit	NP_967198.1	61.13945014	149.2848964
Bd0187	Iron-regulated ABC transporter ATPase subunit	NP_967199.1	77.63362617	122.7102912
Bd0188	transport protein involved in the [Fe-S]	NP_967200.1	69.3081544	113.2878938
Bd0189	hypothetical protein	NP_967201.1	39.06151195	97.12070605
Bd0190	putative nitrogen-fixing protein NifU	NP_967202.1	165.3607947	346.4761162
Bd0191	hypothetical protein	NP_967203.1	770.8611991	89.68353487
Bd0192	hypothetical protein	NP_967204.1	1524.408062	10.88559034
Bd0193	hypothetical protein	NP_967205.1	1117.659208	27.30538158
Bd0194	hypothetical protein	NP_967206.1	0	0
Bd0197	exodeoxyribonuclease VII| large subunit	NP_967207.1	3.006706073	371.2705824
Bd0198	exodeoxyribonuclease VII| small subunit	NP_967208.1	6.714976896	751.3960162
Bd0199	geranyltranstransferase	NP_967209.1	5.209895868	356.0714138
Bd0200	hemolysin	NP_967210.1	0	211.0711765
Bd0201	alpha-beta hydrolase superfamily protein	NP_967211.1	6.924819924	257.3081418
Bd0202	aminopeptidase P	NP_967212.1	93.18743448	762.9046276
Bd0203	methyl-accepting chemotaxis protein	NP_967213.1	3.44161686	25.36664903
Bd0204	hypothetical protein	NP_967214.1	0.44372094	4.459735251
Bd0205	putative haloacid dehalogenase-like hydrolase	NP_967215.1	0.812295592	55.78865052
Bd0206	hypothetical protein	NP_967216.1	2.650648775	388.5153133
Bd0208	hypothetical protein	NP_967217.1	896.1721919	50.77279019
Bd0209	putative hemagglutinin/hemolysin-related	NP_967218.1	5213.527983	6.256859716
Bd0210	hypothetical protein	NP_967219.1	4.906358477	12.56989372
Bd0211	rod shape-determining protein MreB	NP_967220.1	8.301482427	1632.569402
Bd0213	hypothetical protein	NP_967221.1	17.96363246	868.3511686
Bd0214	hypothetical protein	NP_967222.1	4.879394977	179.8194059
Bd0216	two-component sensor histidine kinase	NP_967223.1	5.066941408	53.49869401
Bd0217	hypothetical protein	NP_967224.1	3346.06244	10.60062725
Bd0218	putative DNA repair protein	NP_967225.1	171.9976538	5.920233345
Bd0220	putative lipoprotein	NP_967226.1	68.51091293	1062.521879
Bd0221	hypothetical protein	NP_967227.1	19.27744564	159.8463003
Bd0222	hypothetical protein	NP_967228.1	3.249182369	243.8372237
Bd0223	putative regulator for granula-associated	NP_967229.1	16.04953269	3226.201886
Bd0224	hypothetical protein	NP_967230.1	6710.912568	10.65642002
Bd0225	hypothetical protein	NP_967231.1	1389.454893	22.03118683
Bd0226	hypothetical protein	NP_967232.1	16.55099939	36.43861932
Bd0227	hypothetical protein	NP_967233.1	22.16906248	340.6825189
Bd0228	serine protein kinase	NP_967234.1	4242.662137	104.8445949
Bd0229	hypothetical protein	NP_967235.1	3528.390114	42.41216347
Bd0231	putative sporulation protein R	NP_967236.1	2191.254961	29.1136181
Bd0232	putative translation initiation factor SUI1	NP_967237.1	2311.672418	1653.80006
Bd0233	two-component response regulator	NP_967238.1	231.8265833	2107.744029
Bd0234	anthranilate synthase component II	NP_967239.1	72.10547147	534.1972915
Bd0235	ATP-dependent RNA helicase	NP_967240.1	12.73987712	55.35301177
Bd0236	cytosine deaminase	NP_967241.1	1.924674907	60.18275426
Bd0237	hypothetical protein	NP_967242.1	0.384445242	182.894537
Bd0238	hypothetical protein	NP_967243.1	0.608608178	17.3314384
Bd0239	30S ribosomal protein S21	NP_967244.1	6.013412146	2860.798131
Bd0240	hypothetical protein	NP_967245.1	2.028013157	1288.663947
Bd0241	DNA primase	NP_967246.1	2.263475358	424.1186749
Bd0242	RNA polymerase sigma factor RpoD	NP_967247.1	19.48444116	1834.418271
Bd0243	hypothetical protein	NP_967248.1	0.846425659	621.0275029
Bd0244	hypothetical protein	NP_967249.1	1.716897502	124.6276395
Bd0245	short-chain fatty acids transporter	NP_967250.1	0.442745729	43.01602514
Bd0246	hypothetical protein	NP_967251.1	0.899327263	9.038927697
Bd0247	hypothetical protein	NP_967252.1	9.014268596	70.90458458
Bd0248	hypothetical protein	NP_967253.1	14.51117889	8.579321204
Bd0249	hypothetical protein	NP_967254.1	2.905518849	0
Bd0250	hypothetical protein	NP_967255.1	12.39688042	0
Bd0251	hypothetical protein	NP_967256.1	1.741134891	0.874986951
Bd0252	hypothetical protein	NP_967257.1	14.72582653	3.94682223
Bd0253	DNA methylation and regulatory protein Ada	NP_967258.1	13.01026774	2.812110839
Bd0254	excinuclease ABC subunit C	NP_967259.1	0.393455678	9.227238691
Bd0255	ATP dependent helicase	NP_967260.1	0.762103305	19.57484468
Bd0256	hypothetical protein	NP_967261.1	1.239688042	61.26075305
Bd0257	hypothetical protein	NP_967262.1	0.399701006	140.605542
Bd0258	peptidyl-prolyl cis-trans isomerase C	NP_967263.1	0	107.5400629
Bd0259	hypothetical protein	NP_967264.1	2.824055704	23.65326874
Bd0260	hypothetical protein	NP_967265.1	1.879191296	56.66193482
Bd0262	chemotaxis protein	NP_967266.1	3.414395032	22.16324644
Bd0263	hypothetical protein	NP_967267.1	0.472885697	11.09001458
Bd0264	hypothetical protein	NP_967268.1	0.680571983	37.62148285
Bd0265	hypothetical protein	NP_967269.1	1.088915172	71.13880393
Bd0266	glycine cleavage system protein H homologue	NP_967270.1	1.449275589	2163.099935
Bd0267	hypothetical protein	NP_967271.1	1.496969372	268.6730101
Bd0268	regulatory protein P-II for glutamine	NP_967272.1	0	447.9468593
Bd0269	hypothetical protein	NP_967273.1	0.384445242	197.0624237
Bd0271	rRNA methyltransferase	NP_967274.1	1.251237931	140.4308767
Bd0272	preprotein translocase subunit SecA	NP_967275.1	3.28203927	904.2990136
Bd0273	hypothetical protein	NP_967276.1	2.527141843	215.2927868
Bd0274	hypothetical protein	NP_967277.1	51.87319653	172.1011833
Bd0275	putative lipoprotein	NP_967278.1	3285.120961	193.8076389
Bd0276	hypothetical protein	NP_967279.1	401.1544639	73.04183997
Bd0277	hypothetical protein	NP_967280.1	17.93726705	143.3020866
Bd0278	hypothetical protein	NP_967281.1	1.726708345	387.5892196
Bd0279	long-chain fatty-acid-CoA ligase	NP_967282.1	0.605559039	110.2302365
Bd0280	3-oxoacyl-(acyl-carrier-protein) synthase III	NP_967283.1	0	143.1923501
Bd0281	3-oxoacyl-(acyl carrier protein) reductase	NP_967284.1	2.417391683	1071.751683
Bd0282	putative lysophospholipase	NP_967285.1	4.92842341	393.1795338
Bd0283	putative carboxylesterase	NP_967286.1	0.388898276	152.4402941
Bd0284	hypothetical protein	NP_967287.1	0	735.2334484
Bd0285	SCO1/SenC family protein	NP_967288.1	0	329.3912764
Bd0286	cytochrome c oxidase| subunit II	NP_967289.1	1.578756324	430.5438664
Bd0287	cytochrome c oxidase subunit I	NP_967290.1	1.315433907	460.8504032
Bd0288	cytochrome c oxidase subunit III	NP_967291.1	3.629717241	971.3182844
Bd0289	hypothetical protein	NP_967292.1	2.697981789	1678.227576
Bd0290	protoheme IX farnesyltransferase	NP_967293.1	0.687540297	471.0525597
Bd0291	maleylacetoacetate isomerase / glutathione	NP_967294.1	0	132.3054791
Bd0292	hypothetical protein	NP_967295.1	0	131.0769019
Bd0293	hypothetical protein	NP_967296.1	11.42238338	3522.386257
Bd0294	fumarylacetoacetate hydrolase family protein	NP_967297.1	96.1042565	1711.001751
Bd0295	hypothetical protein	NP_967298.1	1228.310642	729.9647715
Bd0296	putative lipoprotein	NP_967299.1	0.607773553	9.255438856
Bd0297	bifunctional penicillin-binding protein	NP_967300.1	0.448995483	25.07082472
Bd0298	putative stress-induced protein OsmC	NP_967301.1	0.740622452	233.2397814
Bd0299	two-component response regulator	NP_967302.1	0.599551509	417.7993247
Bd0300	sensory transduction histidine kinase	NP_967303.1	1.15571094	64.3335507
Bd0301	hypothetical protein	NP_967304.1	2.905518849	593.7880195
Bd0302	phosphonates-binding protein	NP_967305.1	2.304158739	116.8955878
Bd0303	regulator of nucleoside diphosphate kinase	NP_967306.1	78.26088181	3153.610342
Bd0304	cell wall-associated hydrolase	NP_967307.1	33.31051531	1278.071162
Bd0305	quinone oxidoreductase	NP_967308.1	2.464211705	154.7950921
Bd0306	carboxypeptidase	NP_967309.1	1.303879009	46.95952081
Bd0307	streptomycin resistance protein	NP_967310.1	1.007246534	15.7478207
Bd0308	hypothetical protein	NP_967311.1	8.352776139	6.584454647
Bd0309	putative pirin-related protein	NP_967312.1	98.52702464	51.53832229
Bd0310	hypothetical protein	NP_967313.1	32.71947341	88.12474731
Bd0311	benzoate membrane transport protein	NP_967314.1	2.076796978	97.4092002
Bd0312	glucose inhibited division protein B	NP_967315.1	0	19.65747383
Bd0314	hypothetical protein	NP_967316.1	1.974993205	13.23346277
Bd0315	thiol peroxidase	NP_967317.1	4.854200166	548.8698264
Bd0316	ATP-dependent RNA helicase	NP_967318.1	0	26.3412914
Bd0317	hypothetical protein	NP_967319.1	0	182.6582086
Bd0318	hypothetical protein	NP_967320.1	0.839372112	168.7266503
Bd0319	hypothetical protein	NP_967321.1	0	121.9509453
Bd0320	RNA-binding protein	NP_967322.1	2184.286056	22432.60989
Bd0321	translation initiation factor IF-1	NP_967323.1	774.4909164	22778.0978
Bd0322	D-amino acid dehydrogenase	NP_967324.1	22.51777108	847.6891808
Bd0323	putative secreted protein	NP_967325.1	20.42343204	60.64828906
Bd0324	putative ATP-dependent RNA helicase	NP_967326.1	0	46.57345796
Bd0325	arsenate reductase	NP_967327.1	0	26.1817216
Bd0326	putative vitamin B12 transport protein	NP_967328.1	0.550407942	68.22826298
Bd0327	hypothetical protein	NP_967329.1	12.79043218	21.42560639
Bd0328	rhs family protein	NP_967330.1	15.31162314	13.59701944
Bd0329	steroid delta-isomerase domain-containing	NP_967331.1	14.51886897	103.3640741
Bd0330	hypothetical protein	NP_967332.1	35.37353901	76.32872277
Bd0331	naringenin-chalcone synthase	NP_967333.1	2.177830345	24.62497059
Bd0332	NADH dehydrogenase	NP_967334.1	0.93697352	54.93425825
Bd0333	ampG protein	NP_967335.1	14.61406802	21.09083129
Bd0334	hypothetical protein	NP_967336.1	64.88285158	65.88960433
Bd0335	acetyltransferase	NP_967337.1	439.3450344	42.18166259
Bd0336	FKBP-type peptidyl-prolyl cis-trans isomerase	NP_967338.1	5.73748026	1102.062678
Bd0338	putative nucleotide-binding protein	NP_967339.1	14.92217088	443.688599
Bd0339	RNA-binding protein	NP_967340.1	6866.757573	476.8968134
Bd0340	lipase/acylhydrolase domain-containing protein	NP_967341.1	36.26087524	107.9850562
Bd0341	ABC-type transporter| ATP-binding protein	NP_967342.1	10.43543707	57.76227669
Bd0342	ABC-type transport system| permease component.	NP_967343.1	1.421995107	38.90638055
Bd0344	putative translation factor related to Sua5	NP_967344.1	1.782737229	128.411433
Bd0345	Na/H antiporter	NP_967345.1	1.02431851	34.31728482
Bd0346	hypothetical protein	NP_967346.1	2.034841484	90.32840877
Bd0347	hypothetical protein	NP_967347.1	0.344947443	27.73588773
Bd0348	acyltransferase	NP_967348.1	0.394998641	97.92762451
Bd0349	DNA polymerase IV	NP_967349.1	39.78200598	300.5886544
Bd0350	hypothetical protein	NP_967350.1	14.74019319	205.7642077
Bd0351	hypothetical protein	NP_967351.1	2.456698865	156.3807979
Bd0354	hypothetical protein	NP_967352.1	13.13799828	102.7031785
Bd0355	putative arsenate reductase	NP_967353.1	0	120.9207661
Bd0356	putative arginase (fragment)	NP_967354.1	4.578393338	75.73525782
Bd0357	peptide ABC transporter periplasmic protein	NP_967355.1	7.819658863	628.1247205
Bd0358	peptide ABC transporter| permease protein	NP_967356.1	0.878412675	361.9775231
Bd0360	peptide ABC transporter permease	NP_967357.1	5.628730634	931.9666157
Bd0361	hypothetical protein	NP_967358.1	0	380.0610407
Bd0362	hypothetical protein	NP_967359.1	8.877427083	29.74164684
Bd0364	arginine decarboxylase	NP_967360.1	4.557676627	173.561954
Bd0365	leucyl-rRNA synthetase	NP_967361.1	3.538632743	88.0681136
Bd0367	two component response regulator	NP_967362.1	687.2115164	11.77162677
Bd0368	cation efflux system protein	NP_967363.1	167.3892362	45.83903217
Bd0370	hypothetical protein	NP_967364.1	13.42995379	43.38685294
Bd0371	hypothetical protein	NP_967365.1	30.31518696	22.93371946
Bd0372	hypothetical protein	NP_967366.1	111.2168048	161.6963732
Bd0373	hypothetical protein	NP_967367.1	397.4626801	679.1917226
Bd0374	putative transcriptional regulator PhoB-like	NP_967368.1	1732.949459	1386.404524
Bd0375	hypothetical protein	NP_967369.1	1307.782696	48.01164847
Bd0376	putative extracellular serine protease	NP_967370.1	2715.116674	11.32793766
Bd0377	hypothetical protein	NP_967371.1	346.5248688	6.265711153
Bd0378	hypothetical protein	NP_967372.1	1194.108133	39.56349042
Bd0379	phosphoglycolate phosphatase	NP_967373.1	2.278838313	30.53876024
Bd0380	outer membrane protein A	NP_967374.1	0.58560845	0
Bd0381	O-methyltransferase	NP_967375.1	53.50997214	396.2063307
Bd0382	hypothetical protein	NP_967376.1	4.980889456	20.39552916
Bd0383	hypothetical protein	NP_967377.1	3.029312886	125.5935217
Bd0384	DNA polymerase III| alpha chain	NP_967378.1	3.414395032	8.261568567
Bd0385	hypothetical protein	NP_967379.1	8.134532582	22.44344993
Bd0386	recA protein	NP_967380.1	7.105058542	147.0232223
Bd0387	hypothetical protein	NP_967381.1	2.810920561	147.5377222
Bd0388	hypothetical protein	NP_967382.1	1.316662137	141.1569362
Bd0389	6-O-methylguanine-DNA methyltransferase	NP_967383.1	0.614174716	63.7869044
Bd0390	hypothetical protein	NP_967384.1	0.71946181	9.641522877
Bd0391	hypothetical protein	NP_967385.1	0.296248981	7.940077663
Bd0392	hypothetical protein	NP_967386.1	0	18.40654367
Bd0393	hypothetical protein	NP_967387.1	1.189661261	53.14225208
Bd0394	pyruvate dehydrogenase E1 component	NP_967388.1	1.823556026	419.0314682
Bd0395	Bcr/CflA subfamily drug resistance transporter	NP_967389.1	6.089147815	24.65024111
Bd0396	putative periplasmic protein TonB	NP_967390.1	157.2829762	21.29042907
Bd0397	protein phosphatase	NP_967391.1	7.504974178	78.07743035
Bd0398	cell wall-binding protein associated	NP_967392.1	2.405364858	126.922734
Bd0399	hypothetical protein	NP_967393.1	0	44.01564791
Bd0400	hypothetical protein	NP_967394.1	2.02461615	118.7021661
Bd0401	hypothetical protein	NP_967395.1	3.191001418	4.648117089
Bd0402	hypothetical protein	NP_967396.1	0	0
Bd0403	hypothetical protein	NP_967397.1	1.100815885	1.844007108
NP_967398.1	Bd0404	42522018	22.49687691	107.0600573
Bd0405	3-ketoacyl-acyl carrier protein reductase	NP_967399.1	12.0388032	67.22177304
Bd0406	hypothetical protein	NP_967400.1	3.197608046	56.24221678
Bd0407	putative hydrolase	NP_967401.1	5.047704729	14.60504035
Bd0408	flagellin	NP_967402.1	123.8592912	78.69935634
Bd0409	hypothetical protein	NP_967403.1	71.76631558	16.87266503
Bd0410	flagellin	NP_967404.1	225.3623541	81.32867319
Bd0411	hypothetical protein	NP_967405.1	0.712674435	21.48877151
Bd0412	hypothetical protein	NP_967406.1	0.95023258	20.69289108
Bd0413	hypothetical protein	NP_967407.1	1.980540939	6.63531771
Bd0414	hypothetical protein	NP_967408.1	1.223376358	1.366207695
Bd0415	hypothetical protein	NP_967409.1	0.846425659	11.34296809
Bd0416	hypothetical protein	NP_967410.1	0.738811639	9.075761143
Bd0417	hypothetical protein	NP_967411.1	0.917532268	10.58810964
Bd0418	hypothetical protein	NP_967412.1	4.247425145	20.32851209
Bd0419	putative adventurous gliding motility protein	NP_967413.1	3.357488448	6.749066014
