"GENE_NAME"	"E0"	"M45"	"J45"	"T45"	"M90"	"J90"	"T90"	"M45/E0"	"J45/E0"	"T45/E0"	"M90/E0"	"J90/E0"	"T90/E0"	"FUNCTION"	"MAPLOC"	
LA0027	0.896	0.973	0.829	0.904	0.807	0.991	0.782	1.09	0.93	1.01	0.9	1.11	0.87	adenylate cyclase	29142-31418	
LA0028	0.9	0.805	0.329	0.387	0.832	0.879	0.537	0.89	0.37	0.43	0.92	0.98	0.6	hypothetical protein	31868-32038	
LA0029	0.727	0.866	0.295	0.484	0.598	0.637	0.273	1.19	0.41	0.67	0.82	0.88	0.38	hypothetical protein	32041-32598	
LA0030	0.694	0.899	0.271	0.447	0.553	0.608	0.222	1.3	0.39	0.64	0.8	0.88	0.32	hypothetical protein	32546-33772	
LA0031	24.107	25.27	8.795	12.038	23.817	7.456	8.446	1.05	0.36	0.5	0.99	0.31	0.35	hypothetical protein	33997-34701	
LA0032	1.023	1.263	0.79	0.998	1.059	1.139	1.133	1.23	0.77	0.98	1.04	1.11	1.11	hypothetical protein	34705-35064	
LA0033	1.029	1.003	0.992	0.862	0.874	1.102	1.007	0.97	0.96	0.84	0.85	1.07	0.98	inositol monophophatase family protein	35061-35909	
LA0034	0.812	0.936	0.62	0.819	0.951	0.92	0.649	1.15	0.76	1.01	1.17	1.13	0.8	hypothetical protein	35929-36840	
LA0035	2.15	1.402	3.715	3.11	1.437	1.806	2.966	0.65	1.73	1.45	0.67	0.84	1.38	beta-galactosidase I	37450-39426	
LA0036	0.99	1.008	1.151	1.157	0.947	0.927	0.857	1.02	1.16	1.17	0.96	0.94	0.87	Heat shock protein HSP33	39612-40469	
LA0037	1.189	0.932	1.992	1.806	0.854	1.217	1.725	0.78	1.68	1.52	0.72	1.02	1.45	hypothetical protein	39454-39630	
LA0038	0.838	0.864	1.375	0.792	1.159	1.115	0.757	1.03	1.64	0.95	1.38	1.33	0.9	hypothetical protein	40477-41049	
LA0039	0.747	0.887	0.408	0.442	0.596	0.737	0.332	1.19	0.55	0.59	0.8	0.99	0.44	hypothetical protein	41031-41726	
LA0040	0.954	1.006	0.856	1.004	0.937	1.028	0.891	1.05	0.9	1.05	0.98	1.08	0.93	VacB protein	41732-43978	
LA0041	1.572	1.208	3.05	2.388	1.363	1.814	2.448	0.77	1.94	1.52	0.87	1.15	1.56	hypothetical protein	44138-44650	
LA0042	1.364	1.148	2.172	2.326	1.143	1.592	2.135	0.84	1.59	1.71	0.84	1.17	1.57	GMC oxidoreductase	44654-46267	
LA0043	0.895	0.999	0.622	0.781	0.836	0.791	0.68	1.12	0.69	0.87	0.93	0.88	0.76	TPR-repeat-containing proteins	46409-47917	
LA0044	0.57	0.692	0.158	0.324	0.392	0.503	0.125	1.21	0.28	0.57	0.69	0.88	0.22	hypothetical protein	47932-48075	
LA0045	0.65	0.857	0.293	0.416	0.58	0.703	0.274	1.32	0.45	0.64	0.89	1.08	0.42	3-dehydroquinate dehydratase	48128-48832	
LA0046	1.71	1.496	2.264	2.627	1.4	1.469	2.026	0.87	1.32	1.54	0.82	0.86	1.18	Polysialic acid capsule expression protein kpsF	48836-49804	
LA0047	0.89	0.828	0.889	0.445	0.879	0.912	0.753	0.93	1	0.5	0.99	1.02	0.85	transcriptional activator affecting biosynthesis of lipopolysaccharide core. F pilin. and haemolysin	49788-50327	
LA0048	0.652	0.801	0.331	0.414	0.683	0.69	0.297	1.23	0.51	0.63	1.05	1.06	0.46	hypothetical protein	50311-50790	
LA0049	1.094	1.309	1.112	1.061	0.878	0.938	0.954	1.2	1.02	0.97	0.8	0.86	0.87	aerotaxis sensor receptor. flavoprotein	51872-53569	
LA0050	1.712	1.117	4.525	4.735	1.608	1.592	2.744	0.65	2.64	2.77	0.94	0.93	1.6	hypothetical protein	54175-55053	
LA0051	1.624	1.343	2.457	2.508	1.233	1.296	2.204	0.83	1.51	1.54	0.76	0.8	1.36	dTDPglucose 4.6-dehydratase	55050-55988	
LA0052	2.931	2.175	2.683	2.85	1.418	2.008	2.404	0.74	0.92	0.97	0.48	0.69	0.82	NAD(P) transhydrogenase subunit alpha	56062-57231	
LA0053	0.903	0.942	1.718	1.341	1.371	1.66	1.362	1.04	1.9	1.49	1.52	1.84	1.51	predicted phosphatase	57190-57726	
LA0054	2.551	1.846	4.298	5.089	2.289	2.663	3.992	0.72	1.68	1.99	0.9	1.04	1.56	histidyl-tRNA synthetase	57723-59042	
LA0055	0.949	1.281	0.759	0.787	0.909	0.932	0.714	1.35	0.8	0.83	0.96	0.98	0.75	hypothetical protein	59049-60197	
LA0056	1.998	3.59	2.338	2.341	4.548	1.908	2.127	1.8	1.17	1.17	2.28	0.95	1.06	outer membrane protein OmpA family	60207-62270	
LA0057	1.304	1.034	2.162	2.383	1.292	1.357	1.919	0.79	1.66	1.83	0.99	1.04	1.47	dihydropteroate synthase	62364-63206	
LA0058	0.585	0.735	0.184	0.327	0.407	0.525	0.151	1.26	0.31	0.56	0.7	0.9	0.26	hypothetical protein	63644-63781	
LA0059	0.768	0.882	0.413	0.63	0.766	0.679	0.524	1.15	0.54	0.82	1	0.88	0.68	TPR-repeat-containing protein	63975-65225	
LA0060	0.86	1.015	1.013	0.915	0.689	0.863	0.641	1.18	1.18	1.06	0.8	1	0.75	TPR-repeat-containing protein	65283-66185	
LA0061	1.926	3.172	0.931	1.367	2.764	1.263	0.934	1.65	0.48	0.71	1.44	0.66	0.48	hypothetical protein	66235-67200	
LA0062	1.3	1.344	0.992	0.975	1.528	1.059	1.279	1.03	0.76	0.75	1.18	0.81	0.98	Serine acetyltransferase	67903-68610	
LA0063	1.304	0.981	1.834	1.079	1.369	1.719	1.947	0.75	1.41	0.83	1.05	1.32	1.49	hypothetical protein	68812-69738	
LA0064	0.873	0.906	0.72	0.614	0.727	0.88	0.705	1.04	0.82	0.7	0.83	1.01	0.81	hypothetical protein	69702-71117	
LA0065	0.844	0.894	0.679	0.828	0.848	0.831	0.804	1.06	0.8	0.98	1	0.98	0.95	DNA-damage-inducible protein F	71912-73294	
LA0066	1.694	1.195	3.164	3.173	1.706	1.638	2.841	0.71	1.87	1.87	1.01	0.97	1.68	Proton/sodium-glutamate symport protein	73311-74594	
LA0067	1.549	1.117	2.13	1.772	1.452	1.705	2.107	0.72	1.38	1.14	0.94	1.1	1.36	hypothetical protein	74734-77919	
LA0068	0.931	0.845	0.924	0.603	0.765	0.976	0.872	0.91	0.99	0.65	0.82	1.05	0.94	hypothetical protein	77912-78802	
LA0069	0.655	0.784	0.269	0.382	0.562	0.602	0.243	1.2	0.41	0.58	0.86	0.92	0.37	hypothetical protein	79400-79627	
LA0070	1.655	1.115	2.451	2.188	1.361	1.682	2.184	0.67	1.48	1.32	0.82	1.02	1.32	hypothetical protein	79673-82879	
LA0071	3.576	2.854	1.04	0.963	3.074	1.095	0.951	0.8	0.29	0.27	0.86	0.31	0.27	hypothetical protein	83593-84075	
LA0072	1.54	1.021	2.101	1.635	1.021	1.378	1.729	0.66	1.36	1.06	0.66	0.89	1.12	deoxycytidine triphosphate deaminase	84139-84660	
LA0073	1.442	1.255	2.669	2.531	1.445	1.348	1.98	0.87	1.85	1.76	1	0.93	1.37	enoyl-CoA hydratase	84661-85443	
LA0074	0.805	0.949	0.648	0.662	1.086	0.856	0.662	1.18	0.8	0.82	1.35	1.06	0.82	hypothetical protein	85476-86270	
LA0075	2.818	3.591	1.136	2.013	30.795	4.82	1.357	1.27	0.4	0.71	10.93	1.71	0.48	hypothetical protein	87157-87384	
LA0076	1.161	1.425	1.069	0.901	1.858	1.445	1.054	1.23	0.92	0.78	1.6	1.24	0.91	Glyoxalase/Bleomycin resistance protein/Dioxygenase family protein	87472-87870	
LA0077	1.874	1.344	4.585	4.736	1.668	2.582	3.851	0.72	2.45	2.53	0.89	1.38	2.05	hypothetical protein	87950-89038	
LA0078	0.998	1.07	1.457	1.476	1.071	1.339	1.157	1.07	1.46	1.48	1.07	1.34	1.16	hypothetical protein	89035-90540	
LA0079	0.577	0.681	0.161	0.31	0.471	0.56	0.182	1.18	0.28	0.54	0.82	0.97	0.32	hypothetical protein	90575-90694	
LA0080	0.766	0.89	0.494	0.6	0.793	0.748	0.528	1.16	0.64	0.78	1.04	0.98	0.69	putative haloacid dehalogenase-like hydrolase	90769-91518	
LA0081	0.648	0.805	0.29	0.375	0.506	0.606	0.246	1.24	0.45	0.58	0.78	0.94	0.38	hypothetical protein	90672-90797	
LA0082	1.516	1.197	2.05	1.923	1.362	1.429	1.601	0.79	1.35	1.27	0.9	0.94	1.06	S-adenosylmethionine-dependentmethyltransferase	91507-92358	
LA0083	3.799	2.591	3.945	4.453	4.17	3.027	5.083	0.68	1.04	1.17	1.1	0.8	1.34	diaminopimelate epimerase	92497-93342	
LA0084	1.864	1.877	4.022	2.412	1.723	1.836	2.661	1.01	2.16	1.29	0.92	0.98	1.43	putative acyltransferase	93349-94059	
LA0085	1.155	1.412	1.19	1.292	2.344	1.071	1.287	1.22	1.03	1.12	2.03	0.93	1.11	hypothetical protein	94092-94376	
LA0086	0.953	1.039	1.235	0.616	0.799	0.785	0.958	1.09	1.3	0.65	0.84	0.82	1.01	hypothetical protein	94349-94459	
LA0087	7.041	3.268	16.111	10.957	3.265	5.325	14.421	0.46	2.29	1.56	0.46	0.76	2.05	transposase	95097-96170	
LA0088	4.374	1.695	5.182	2.809	3.863	2.815	7.53	0.39	1.18	0.64	0.88	0.64	1.72	hypothetical protein	96152-96397	
LA0089	0.624	0.763	0.19	0.327	0.466	0.557	0.149	1.22	0.3	0.52	0.75	0.89	0.24	hypothetical protein	96862-97035	
LA0090	0.649	0.853	0.24	0.376	0.572	0.555	0.243	1.31	0.37	0.58	0.88	0.86	0.37	hypothetical protein	96819-96992	
LA0091	0.881	1.019	0.815	1.148	1.217	0.881	0.852	1.16	0.93	1.3	1.38	1	0.97	hypothetical protein	97163-97510	
LA0092	0.71	0.957	0.447	0.51	0.812	0.737	0.49	1.35	0.63	0.72	1.14	1.04	0.69	Sensory transduction histidine kinase	97514-98089	
LA0093	1.299	5.455	2.422	3.234	4.196	2.474	1.979	4.2	1.86	2.49	3.23	1.9	1.52	hypothetical protein	98281-98814	
LA0094	0.815	0.932	0.572	0.642	0.765	0.866	0.522	1.14	0.7	0.79	0.94	1.06	0.64	hypothetical protein	99185-100006	
LA0095	0.76	0.934	0.518	0.494	0.984	1.21	0.393	1.23	0.68	0.65	1.29	1.59	0.52	hypothetical protein	100722-101042	
LA0096	0.993	4.237	0.78	0.789	1.975	1.026	0.677	4.27	0.79	0.79	1.99	1.03	0.68	hypothetical protein	101513-101626	
LA0097	0.655	0.78	0.348	0.399	0.806	0.661	0.364	1.19	0.53	0.61	1.23	1.01	0.56	hypothetical protein	101086-101532	
LA0098	0.677	0.842	0.309	0.446	0.582	0.651	0.319	1.24	0.46	0.66	0.86	0.96	0.47	RNA methyltransferase	101861-103108	
LA0099	1.208	1.404	1.421	1.477	1.913	1.222	1.062	1.16	1.18	1.22	1.58	1.01	0.88	hypothetical protein	103386-104051	
LA0100	8.126	25.778	1.021	1.575	6.081	4.35	3.211	3.17	0.13	0.19	0.75	0.54	0.4	putative outermembrane protein	104945-106225	
LA0101	1.506	4.113	1.102	0.894	1.022	1.024	0.802	2.73	0.73	0.59	0.68	0.68	0.53	hypothetical protein	106481-107170	
LA0102	2.261	4.338	1.498	1.523	1.514	1.559	1.615	1.92	0.66	0.67	0.67	0.69	0.71	PBS lyase HEAT-like protein	107208-108755	
LA0103	0.953	0.963	0.618	0.775	0.847	0.838	0.605	1.01	0.65	0.81	0.89	0.88	0.63	putative lipoprotein	108764-109807	
LA0104	1.153	1.013	1.766	2.361	1.174	1.454	1.609	0.88	1.53	2.05	1.02	1.26	1.4	putative metallohydrolase	109804-110661	
LA0105	1.18	1.009	2.146	1.642	1.045	1.659	1.82	0.86	1.82	1.39	0.89	1.41	1.54	hypothetical protein	111132-112058	
LA0106	2.676	4.102	1.072	1.038	1.184	1.084	1.06	1.53	0.4	0.39	0.44	0.41	0.4	long-chain-fatty-acid CoA ligase	112177-114234	
LA0107	1.553	1.345	1.346	1.489	1.222	1.368	1.551	0.87	0.87	0.96	0.79	0.88	1	hypothetical protein	114407-114763	
LA0108	1.005	0.892	1.436	1.648	0.944	1.337	1.662	0.89	1.43	1.64	0.94	1.33	1.65	Leu/Phe-tRNA-protein transferase	114736-115395	
LA0109	0.747	0.871	0.516	0.558	0.779	0.826	0.573	1.17	0.69	0.75	1.04	1.11	0.77	2'-5' RNA ligase	115445-115993	
LA0110	1.14	1.043	1.809	1.614	1.174	1.32	1.186	0.91	1.59	1.42	1.03	1.16	1.04	Para-aminobenzoate synthetase	116041-117816	
LA0111	0.974	0.972	1.629	1.703	1.368	1.157	1.481	1	1.67	1.75	1.4	1.19	1.52	Sensory transduction histidine kinase	117839-119992	
LA0112	0.625	0.797	0.235	0.347	0.451	0.504	0.188	1.28	0.38	0.56	0.72	0.81	0.3	hypothetical protein	120760-120963	
LA0113	1.124	1.018	1.609	1.538	1.166	1.128	1.38	0.91	1.43	1.37	1.04	1	1.23	Cystathionine gamma-synthase	121301-122803	
LA0114	1.516	1.248	1.83	1.851	1.235	1.327	1.722	0.82	1.21	1.22	0.81	0.88	1.14	Peptide chain release factor 1	122863-123927	
LA0115	0.795	0.842	0.529	0.545	0.769	0.855	0.583	1.06	0.67	0.69	0.97	1.08	0.73	hypothetical protein	123968-124573	
LA0116	1.063	1.126	0.936	1.093	1.051	1.106	0.933	1.06	0.88	1.03	0.99	1.04	0.88	hypothetical protein	124656-125915	
LA0117	1.048	1.13	1.07	1.141	1.312	1.019	0.878	1.08	1.02	1.09	1.25	0.97	0.84	hypothetical protein	126245-127267	
LA0118	0.899	0.916	0.75	0.785	1.604	0.873	0.792	1.02	0.83	0.87	1.78	0.97	0.88	hypothetical protein	127681-127863	
LA0119	1.142	1.245	1.187	1.353	1.374	1.069	1.088	1.09	1.04	1.18	1.2	0.94	0.95	hypothetical protein	127279-127713	
LA0120	0.967	0.94	1.48	1.54	1.042	1.122	0.974	0.97	1.53	1.59	1.08	1.16	1.01	Rhomboid family protein	128180-128848	
LA0121	0.752	0.79	0.807	0.611	0.647	0.794	0.472	1.05	1.07	0.81	0.86	1.06	0.63	hypothetical protein	129171-129383	
LA0122	0.815	0.9	0.724	0.727	0.798	0.964	0.617	1.1	0.89	0.89	0.98	1.18	0.76	hypothetical protein	129422-129541	
LA0123	0.847	0.877	0.696	0.652	0.827	1.05	0.676	1.04	0.82	0.77	0.98	1.24	0.8	Putative transcriptional regulator	129542-129892	
LA0124	0.767	0.929	0.474	0.579	0.647	0.752	0.364	1.21	0.62	0.75	0.84	0.98	0.47	Imidazoleglycerol-phosphate dehydratase	130774-131394	
LA0125	1.168	1.005	1.845	1.697	1.78	1.468	1.577	0.86	1.58	1.45	1.52	1.26	1.35	Amidotransferase hisH	131391-132023	
LA0126	1.526	1.107	3.197	2.967	1.13	1.78	2.201	0.73	2.1	1.94	0.74	1.17	1.44	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	132020-132745	
LA0127	1.372	1.013	1.302	1.253	1.278	1.163	1.217	0.74	0.95	0.91	0.93	0.85	0.89	hypothetical protein	132836-134050	
LA0128	0.652	0.797	0.656	0.552	0.572	0.635	0.441	1.22	1.01	0.85	0.88	0.97	0.68	hypothetical protein	134074-134598	
LA0129	1.558	1.119	2.436	2.473	1.128	1.402	1.84	0.72	1.56	1.59	0.72	0.9	1.18	hypothetical protein	134970-136820	
LA0130	0.842	0.916	0.708	0.759	0.833	0.834	0.76	1.09	0.84	0.9	0.99	0.99	0.9	Phosphomethylpyrimidine kinase	137831-138652	
LA0131	0.748	0.848	0.391	0.56	0.886	0.657	0.432	1.13	0.52	0.75	1.18	0.88	0.58	methylated-DNA--protein-cysteine methyltransferase-related protein	139659-140072	
LA0132	0.599	0.719	0.185	0.335	0.443	0.532	0.16	1.2	0.31	0.56	0.74	0.89	0.27	hypothetical protein	140097-140249	
LA0133	0.937	1.01	1.579	1.895	1.117	1.308	1.571	1.08	1.69	2.02	1.19	1.4	1.68	Sensory transduction histidine kinase	140801-142630	
LA0134	1.718	1.329	3.151	2.904	2.448	1.886	2.597	0.77	1.83	1.69	1.42	1.1	1.51	hypothetical protein	142648-143604	
LA0135	1.28	1.057	1.747	1.505	1.043	1.289	1.699	0.83	1.36	1.18	0.81	1.01	1.33	hypothetical protein	143601-144902	
LA0136	2.857	11.659	0.671	2.069	6.077	2.079	0.968	4.08	0.23	0.72	2.13	0.73	0.34	putative lipoprotein qlp42	144972-145964	
LA0137	1.072	0.997	0.769	0.74	1.128	0.988	0.755	0.93	0.72	0.69	1.05	0.92	0.7	hypothetical protein	146075-147730	
LA0138	1.11	1.219	0.934	1.103	1.069	1.068	1.038	1.1	0.84	0.99	0.96	0.96	0.94	TPR-repeat-containing proteins	147727-151320	
LA0139	0.605	0.742	0.184	0.335	0.417	0.503	0.143	1.23	0.3	0.55	0.69	0.83	0.24	hypothetical protein	151555-151677	
LA0140	1.057	0.995	1.564	1.09	1.122	1.344	1.285	0.94	1.48	1.03	1.06	1.27	1.22	S-adenosylmethionine-dependentmethyltransferase	152048-152701	
LA0141	0.901	1.042	0.641	0.807	1.205	0.866	0.642	1.16	0.71	0.9	1.34	0.96	0.71	Metallo-beta-lactamase superfamily protein	152751-153689	
LA0142	1.53	1.423	1.222	1.304	5.152	1.769	1.264	0.93	0.8	0.85	3.37	1.16	0.83	hypothetical protein	153817-154164	
LA0143	0.982	1.101	0.511	0.835	4.015	1.209	0.651	1.12	0.52	0.85	4.09	1.23	0.66	hypothetical protein	154281-154949	
LA0144	1.421	1.287	2.929	2.931	1.209	1.495	1.959	0.91	2.06	2.06	0.85	1.05	1.38	Probable GTP-binding protein	155173-155826	
LA0145	1.198	1.207	1.46	1.872	1.44	1.332	1.449	1.01	1.22	1.56	1.2	1.11	1.21	hypothetical protein	155823-157124	
LA0146	1.253	1.877	1.358	1.433	1.359	1.167	1.516	1.5	1.08	1.14	1.08	0.93	1.21	Nif-specific regulatory protein	157912-160011	
LA0147	1.321	1.179	1.554	1.744	1.707	1.381	1.606	0.89	1.18	1.32	1.29	1.05	1.22	hypothetical protein	160685-161911	
LA0148	0.609	0.748	0.163	0.318	0.407	0.517	0.13	1.23	0.27	0.52	0.67	0.85	0.21	hypothetical protein	160469-160705	
LA0149	1.19	1.076	1.842	1.966	0.946	1.206	1.509	0.9	1.55	1.65	0.79	1.01	1.27	SET family protein	161900-162298	
LA0150	2.052	1.908	4.145	2.356	2.076	2.421	2.911	0.93	2.02	1.15	1.01	1.18	1.42	Hemolysin secretion ATP-binding protein	162352-164172	
LA0151	0.798	0.935	0.546	0.678	0.749	0.826	0.512	1.17	0.68	0.85	0.94	1.04	0.64	ACT family protein	164345-164959	
LA0152	0.496	0.573	0.147	0.279	0.388	0.507	0.124	1.16	0.3	0.56	0.78	1.02	0.25	hypothetical protein	164950-165075	
LA0153	1.118	1.097	1.103	1.248	1.043	1.155	1.289	0.98	0.99	1.12	0.93	1.03	1.15	hypothetical protein	165126-166595	
LA0154	0.589	0.721	0.244	0.292	0.507	0.654	0.188	1.22	0.41	0.5	0.86	1.11	0.32	hypothetical protein	167309-167431	
LA0155	0.666	0.826	0.268	0.384	0.564	0.584	0.224	1.24	0.4	0.58	0.85	0.88	0.34	hypothetical protein	167511-167663	
LA0156	2.374	1.302	4.661	5.741	2.766	2.707	3.197	0.55	1.96	2.42	1.17	1.14	1.35	hypothetical protein	167893-169404	
LA0157	2.245	1.816	3.062	2.345	3.035	2.085	2.868	0.81	1.36	1.04	1.35	0.93	1.28	chorismate synthase	169466-170608	
LA0158	0.637	0.669	0.47	0.29	0.512	0.677	0.387	1.05	0.74	0.46	0.8	1.06	0.61	hypothetical protein	170629-170763	
LA0159	0.68	0.654	0.459	0.305	0.513	0.654	0.342	0.96	0.68	0.45	0.75	0.96	0.5	hypothetical protein	170836-170943	
LA0160	1.874	1.321	2.271	1.821	1.739	1.473	1.698	0.7	1.21	0.97	0.93	0.79	0.91	NADH dehydrogenase subunit G	171412-172860	
LA0161	1.924	1.755	1.905	2.092	4.574	1.813	1.972	0.91	0.99	1.09	2.38	0.94	1.02	NADH dehydrogenase I chain I	172847-173374	
LA0162	0.583	0.724	0.2	0.335	0.432	0.525	0.156	1.24	0.34	0.57	0.74	0.9	0.27	hypothetical protein	173517-173651	
LA0163	0.726	0.924	0.535	0.523	0.934	0.881	0.51	1.27	0.74	0.72	1.29	1.21	0.7	hypothetical protein	173797-174045	
LA0164	0.56	0.691	0.141	0.3	0.386	0.483	0.122	1.23	0.25	0.54	0.69	0.86	0.22	hypothetical protein	174042-174152	
LA0165	0.887	1.004	0.73	0.742	0.964	0.998	0.703	1.13	0.82	0.84	1.09	1.13	0.79	Probable RNA polymerase ECF-type sigma factor	174390-174914	
LA0166	0.988	1.089	1.027	1.014	1.444	1.114	0.804	1.1	1.04	1.03	1.46	1.13	0.81	hypothetical protein	174924-176297	
LA0167	0.532	0.665	0.153	0.311	0.423	0.524	0.139	1.25	0.29	0.58	0.8	0.98	0.26	hypothetical protein	177189-177344	
LA0168	0.621	0.768	0.209	0.331	0.485	0.528	0.205	1.24	0.34	0.53	0.78	0.85	0.33	hypothetical protein	177350-177457	
LA0169	1.052	1.325	1.045	1.29	1.889	1.007	0.899	1.26	0.99	1.23	1.8	0.96	0.85	Protein-disulfide isomerase	177678-178334	
LA0170	0.656	0.75	0.289	0.349	0.588	0.656	0.249	1.14	0.44	0.53	0.9	1	0.38	hypothetical protein	178414-178587	
LA0171	2.461	1.566	4.061	4.113	4.472	2.892	3.252	0.64	1.65	1.67	1.82	1.18	1.32	valine--pyruvate transaminase	179516-180778	
LA0172	1.498	1.243	1.793	1.826	1.667	1.41	1.599	0.83	1.2	1.22	1.11	0.94	1.07	hypothetical protein	180854-183208	
LA0173	1.567	1.103	4.221	3.403	1.478	2.186	2.932	0.7	2.69	2.17	0.94	1.4	1.87	hypothetical protein	183677-183931	
LA0174	1.281	0.995	3.048	1.676	1.169	1.865	1.912	0.78	2.38	1.31	0.91	1.46	1.49	hypothetical protein	183778-184017	
LA0175	2.205	4.395	1.842	2.636	7.267	2.042	1.659	1.99	0.84	1.2	3.3	0.93	0.75	ribosomal protein L34	184417-184578	
LA0176	0.806	1.276	0.489	0.566	0.677	0.878	0.558	1.58	0.61	0.7	0.84	1.09	0.69	hypothetical protein	184756-184908	
LA0177	0.8	1.169	0.69	0.64	0.807	0.896	0.74	1.46	0.86	0.8	1.01	1.12	0.93	alpha-hemolysin	184905-185129	
LA0178	1.509	2.157	1.541	1.377	1.008	1.17	1.437	1.43	1.02	0.91	0.67	0.78	0.95	60Kd inner membrane protein	185139-187022	
LA0179	1.464	2.279	1.039	0.884	0.897	1.102	1.112	1.56	0.71	0.6	0.61	0.75	0.76	Jag-like protein	187054-187764	
LA0180	0.886	0.952	0.802	0.73	0.703	0.919	0.71	1.07	0.91	0.82	0.79	1.04	0.8	tRNA modification GTPase	187757-189127	
LA0181	0.991	0.989	1.533	1.293	0.885	0.985	1.158	1	1.55	1.3	0.89	0.99	1.17	NADP-dependent malic enzyme	189124-190437	
LA0182	0.595	0.645	0.177	0.304	0.395	0.609	0.151	1.08	0.3	0.51	0.66	1.02	0.25	hypothetical protein	190434-190571	
LA0183	0.754	0.882	0.408	0.399	1.608	1.13	0.644	1.17	0.54	0.53	2.13	1.5	0.85	hypothetical protein	191014-191151	
LA0184	3.309	2.06	3.782	4.604	4.974	2.624	3.152	0.62	1.14	1.39	1.5	0.79	0.95	hypothetical protein	191138-193216	
