label,organism_protein
A0A0U3E656,Methanobrevibacter millerae | A0A0U3E656
A0A2H4U578,Methanobrevibacter smithii | A0A2H4U578
A0A843M5U2,Methanobrevibacter sp | A0A843M5U2
B9AH23,Methanobrevibacter smithii DSM 2375 | B9AH23
D2ZML2,Methanobrevibacter smithii DSM 2374 | D2ZML2
A0A2H4VFB3,Methanobacterium subterraneum | A0A2H4VFB3
A0A2H4VLQ6,Methanobacterium sp. MZ-A1 | A0A2H4VLQ6
A0A843DEG8,Methanobrevibacter sp | A0A843DEG8
A0A2H4VTQ1,Methanobacterium subterraneum | A0A2H4VTQ1
A0A843FCI8,Methanobrevibacter sp | A0A843FCI8
A0A7L4P5S5,Methanobacteriaceae archaeon | A0A7L4P5S5
A0A842KRL2,Methanobacteriaceae archaeon | A0A842KRL2
A0A8J7X768,Candidatus Altiarchaeota archaeon | A0A8J7X768
A0A7C6YLQ9,Methanothermobacter sp | A0A7C6YLQ9
A0A832VTF8,Methanobacteriales archaeon | A0A832VTF8
A0A842KV68,Methanobacteriaceae archaeon | A0A842KV68
A0A843III2,Methanobrevibacter sp | A0A843III2
A0A1D2WKA2,Methanobrevibacter sp. A27 | A0A1D2WKA2
A0A1H7KCX7,Methanobrevibacter gottschalkii | A0A1H7KCX7
A0A3N5B4F0,Methanobrevibacter gottschalkii DSM 11977 | A0A3N5B4F0
A0A1V4TAQ1,Methanobacterium sp. PtaB.Bin024 | A0A1V4TAQ1
A0A223ZIG0,Methanothermobacter sp. EMTCatA1 | A0A223ZIG0
A0A371NBT6,Methanothermobacter defluvii | A0A371NBT6
A0A7J4MXG2,Methanothermobacter thermautotrophicus | A0A7J4MXG2
A0A842LRX0,Methanothermobacter sp | A0A842LRX0
A0A1V6N220,Methanobrevibacter arboriphilus JCM 13429 = DSM 1125 | A0A1V6N220
A0A328SV21,Methanosphaera sp. rholeuAM130 | A0A328SV21
A0A497RT10,Candidatus Altiarchaeales archaeon | A0A497RT10
A0A843APP9,Methanobrevibacter arboriphilus | A0A843APP9
D9PUV7,Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) | D9PUV7
T2GK27,Methanothermobacter sp. CaT2 | T2GK27
A0A842YNW0,Methanothermobacter thermautotrophicus | A0A842YNW0
A0A7J2IEY3,Candidatus Altiarchaeales archaeon | A0A7J2IEY3
A0A2Z4LB54,Methanosphaera sp. BMS | A0A2Z4LB54
A0A843DBA4,Methanobrevibacter sp | A0A843DBA4
A0A1I4H134,Methanobrevibacter olleyae | A0A1I4H134
A0A843EMQ5,Methanobrevibacter sp | A0A843EMQ5
A0A1V4YRH4,Methanobacterium sp. PtaU1.Bin097 | A0A1V4YRH4
A0A5B9M0W5,Methanothermobacter sp. KEPCO-1 | A0A5B9M0W5
A0A6B9TJ95,Methanothermobacter sp. THM-2 | A0A6B9TJ95
K6U379,Methanobacterium sp. Maddingley MBC34 | K6U379
R9SMH5,Methanobrevibacter sp. AbM4 | R9SMH5
A0A166AH38,Methanobrevibacter filiformis | A0A166AH38
A0A842Q7A3,Candidatus Aenigmarchaeota archaeon | A0A842Q7A3
K2Q9P0,Methanobacterium formicicum (strain DSM 3637 / PP1) | K2Q9P0
A0A843HD17,Methanosphaera sp | A0A843HD17
A0A843IP09,Methanobrevibacter sp | A0A843IP09
A0A7J4K2J8,Candidatus Diapherotrites archaeon | A0A7J4K2J8
A0A7J4KVC5,Candidatus Diapherotrites archaeon | A0A7J4KVC5
A0A832RLN8,Methanosphaera sp | A0A832RLN8
A0A842ULJ6,Candidatus Altiarchaeales archaeon | A0A842ULJ6
A0A1D2WJD0,Methanosphaera sp. A6 | A0A1D2WJD0
A0A328Q1U1,Methanosphaera stadtmanae | A0A328Q1U1
A0A8J7X7X0,Candidatus Altiarchaeota archaeon | A0A8J7X7X0
A0A519BTD5,uncultured DHVE6 group euryarchaeote | A0A519BTD5
A0A2D6P6U7,Candidatus Woesearchaeota archaeon | A0A2D6P6U7
A0A2H9QFL4,Candidatus Diapherotrites archaeon CG_4_10_14_0_2_um_filter_31_5 | A0A2H9QFL4
A0A382EM18,marine metagenome | A0A382EM18
A0A5E4JHR8,uncultured archaeon | A0A5E4JHR8
A0A842UMQ4,Candidatus Woesearchaeota archaeon | A0A842UMQ4
A0A2H9M0R4,archaeon CG06_land_8_20_14_3_00_37_11 | A0A2H9M0R4
A0A848E5V1,Nanohaloarchaea archaeon | A0A848E5V1
A0A848ENE1,Nanohaloarchaea archaeon | A0A848ENE1
A0A843E4A0,Methanobrevibacter sp | A0A843E4A0
A0A843J6T8,Methanobrevibacter sp | A0A843J6T8
A0A843G4C6,Methanobrevibacter sp | A0A843G4C6
A0A1D8MTF9,Nanohaloarchaea archaeon SG9 | A0A1D8MTF9
A0A842K9Z9,Nanohaloarchaea archaeon | A0A842K9Z9
A0A2P6WB21,Nanohaloarchaea archaeon QH_8_44_6 | A0A2P6WB21
A0A7K4G440,Candidatus Micrarchaeota archaeon | A0A7K4G440
A0A2P6W2M6,Nanohaloarchaea archaeon SW_7_43_1 | A0A2P6W2M6
A0A1J4UUT3,Candidatus Micrarchaeota archaeon CG1_02_60_51 | A0A1J4UUT3
A0A2G9P0L8,Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_60_32 | A0A2G9P0L8
A0A2G9PFR4,Candidatus Micrarchaeota archaeon CG09_land_8_20_14_0_10_60_16 | A0A2G9PFR4
A0A2H9P6S2,Candidatus Micrarchaeota archaeon CG_4_10_14_0_8_um_filter_60_7 | A0A2H9P6S2
A0A2H9Q701,Candidatus Micrarchaeota archaeon CG_4_10_14_0_2_um_filter_60_11 | A0A2H9Q701
A0A5E4ITA2,uncultured archaeon | A0A5E4ITA2
A0A842V462,archaeon | A0A842V462
A0A5E4IZP4,uncultured archaeon | A0A5E4IZP4
A0A2H9L273,Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_59_7 | A0A2H9L273
A0A7J4JXK6,Candidatus Micrarchaeota archaeon | A0A7J4JXK6
A0A7C3Z5J5,Candidatus Micrarchaeota archaeon | A0A7C3Z5J5
A0A7J2ZH22,Candidatus Micrarchaeota archaeon | A0A7J2ZH22
A0A7L4RQ55,Candidatus Micrarchaeota archaeon | A0A7L4RQ55
A0A7D6BGC7,Candidatus Fermentimicrarchaeum limneticum | A0A7D6BGC7
A0A2H9Q828,Candidatus Micrarchaeota archaeon CG_4_10_14_0_2_um_filter_55_9 | A0A2H9Q828
A0A2H9SAZ9,Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_54_18 | A0A2H9SAZ9
A0A7L4RAK1,Candidatus Micrarchaeota archaeon | A0A7L4RAK1
R7PTX2,Methanobrevibacter smithii CAG:186 | R7PTX2
A0A1J4ULD3,Candidatus Micrarchaeota archaeon CG1_02_51_15 | A0A1J4ULD3
